Resteasy,https://github.com/resteasy/Resteasy.git,800
retrolambda,https://github.com/luontola/retrolambda.git,3501
robovm,https://github.com/robovm/robovm.git,1614
RxAndroidBle,https://github.com/Polidea/RxAndroidBle.git,2181
RxGalleryFinal,https://github.com/FinalTeam/RxGalleryFinal.git,2325
RxJava-Android-Samples,https://github.com/kaushikgopal/RxJava-Android-Samples.git,6972
RxNetty,https://github.com/ReactiveX/RxNetty.git,1198
sagan,https://github.com/spring-io/sagan.git,1929
sbt-android,https://github.com/scala-android/sbt-android.git,728
SeeWeather,https://github.com/xcc3641/SeeWeather.git,3381
servo,https://github.com/Netflix/servo.git,1293
simple-binary-encoding,https://github.com/real-logic/simple-binary-encoding.git,1861
smile,https://github.com/haifengl/smile.git,4291
sonarqube,https://github.com/SonarSource/sonarqube.git,3557
spark,https://github.com/perwendel/spark.git,8250
speedment,https://github.com/speedment/speedment.git,1656
SpongeAPI,https://github.com/SpongePowered/SpongeAPI.git,966
SpongeForge,https://github.com/SpongePowered/SpongeForge.git,992
spring-batch,https://github.com/spring-projects/spring-batch.git,1226
spring-cloud-microservice-example,https://github.com/kbastani/spring-cloud-microservice-example.git,2628
spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix.git,3301
spring-framework,https://github.com/spring-projects/spring-framework.git,28519
spring-integration,https://github.com/spring-projects/spring-integration.git,873
spring-loaded,https://github.com/spring-projects/spring-loaded.git,2268
SpringBlog,https://github.com/Raysmond/SpringBlog.git,1452
stagemonitor,https://github.com/stagemonitor/stagemonitor.git,1452
StickerCamera,https://github.com/Skykai521/StickerCamera.git,2922
strman-java,https://github.com/shekhargulati/strman-java.git,1299
swagger2markup,https://github.com/Swagger2Markup/swagger2markup.git,1663
swift,https://github.com/facebookarchive/swift.git,836
syncthing-android,https://github.com/syncthing/syncthing-android.git,1067
T-MVP,https://github.com/north2016/T-MVP.git,2641
tailor,https://github.com/sleekbyte/tailor.git,1283
Terasology,https://github.com/MovingBlocks/Terasology.git,2546
titan,https://github.com/thinkaurelius/titan.git,4901
tomcat,https://github.com/apache/tomcat.git,3152
TranslateApp,https://github.com/maoruibin/TranslateApp.git,1625
TrayNotification,https://github.com/PlusHaze/TrayNotification.git,1341
Turbine,https://github.com/Netflix/Turbine.git,743
u2020,https://github.com/JakeWharton/u2020.git,5616
uaa,https://github.com/cloudfoundry/uaa.git,956
uhabits,https://github.com/iSoron/uhabits.git,2406
useful-java-links,https://github.com/Vedenin/useful-java-links.git,4275
usergrid,https://github.com/apache/usergrid.git,941
vert.x,https://github.com/eclipse-vertx/vert.x.git,9557
VirtualApp,https://github.com/asLody/VirtualApp.git,5650
voltdb,https://github.com/VoltDB/voltdb.git,1386
wh-app-android,https://github.com/WhiteHouse/wh-app-android.git,415
whorlwind,https://github.com/square/whorlwind.git,802
wildfly,https://github.com/wildfly/wildfly.git,2255
word,https://github.com/ysc/word.git,1235
WorldEdit,https://github.com/EngineHub/WorldEdit.git,1216
ZhihuDailyPurify,https://github.com/izzyleung/ZhihuDailyPurify.git,4890
